,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
Email,info@aldanube.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,
State ,Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zip Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,30/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,January,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice No,CRINV - 8932500283,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Product Name,Brand,Unit ,Qty,Unit Price,Disc/P Unit,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,
,Milano Floor Box RJ45,,PCS,2,7.3,3.6,11,5,0.55,11.55,,,,,,,,,,,,,,,,,,
,Milano Floor Box double socket,,PCS,2,9.75,4.5,15,5,0.75,15.75,,,,,,,,,,,,,,,,,,
,Milano Floor Box 258x258,,PCS,2,71.5,39,104,5,5.2,109.2,,,,,,,,,,,,,,,,,,
,Milano LED COB STRIP LIGHT 12W 5M 4V 480 LED 4000K,,PCS,33,44.8,620.4,858,5,42.9,900.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,17/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,December,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice No,CRINV - 8772405862,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Product Name,Brand,Unit ,Qty,Unit Price,Disc/P Unit,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,
,Milano LED COB STRIP LIGHT 12W 5M 24V 480 LED 3000K,,PCS,10,44.8,447.96,0.04,5,0,0.04,,,,,,,,,,,,,,,,,,
,AVANTI 20W LED SURFACE LIGHT 6500k RD,,PCS,40,7.15,86,200,5,10,210,,,,,,,,,,,,,,,,,,
,Milano LED COB STRIP LIGHT 12W 5M 24V 480 LED 3000K,,PCS,50,44.8,640,1600,5,80,1680,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,28/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,August,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice No,CRINV - 8932402421,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Product Name,Brand,Unit ,Qty,Unit Price,Disc/P Unit,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,
,Milano LED COB STRIP LIGHT 12W 5M 24V 480 LED 3000K,,PCS,10,44.8,158,290,5,14.5,304.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,20/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,September,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice No,CRINV - 8842403731,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Product Name,Brand,Unit ,Qty,Unit Price,Disc/P Unit,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,
,Milano LED COB STRIP LIGHT 12W 5M 24V 480 LED 3000K,,PCS,20,44.8,336,560,5,28,588,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Bi-Metal Hacksaw Blade 24T STARRETT,,PCS,100,1.9,190,5,9.5,190,,,,,
,,,,,,,,,,,,,,,"Cutting Disc 14"" VANGUARD",,PCS,25,6.5,162.5,5,8.13,162.5,,,,,
,,,,,,,,,,,,,,,Grease Gun 500cc,,PCS,3,25,75,5,3.75,75,,,,,
,,,,,,,,,,,,,,,SS FLEXIBLE HOSE-SPAN EUREX 60CM (1X160),,PCS,60,3.3,198,5,9.9,207.9,,,,,
,,,,,,,,,,,,,,,CP PILLAR COCK SUNDEX HALF TURN SN388 (1x40),,PCS,5,22,110,5,5.5,115.5,,,,,
,,,,,,,,,,,,,,,CP BASIN PILLAR TAP SUNDEX SN3902 (1X40),,PCS,5,36,180,5,9,189,,,,,
,,,,,,,,,,,,,,,CP FILTER FOR SINK SPOUT MALE BRASS AM22 (1X1000),,PCS,25,1.2,30,5,1.5,31.5,,,,,
,,,,,,,,,,,,,,,"WATER SAVING AERATOR BASIN/SINK MALE SUNDEX 1/2"" AM10 (1X400)",,PCS,20,3,60,5,3,63,,,,,
,,,,,,,,,,,,,,,"BRASS CHECK NUT (BOTTOM) 3/4"" CN34 (1X1000)",,PCS,6,2.5,15,5,0.75,15.75,,,,,
,,,,,,,,,,,,,,,"BRASS CHECK NUT (BOTTOM) 1/2"" CN12 (1X1000)",,PCS,3,1.9,5.7,5,0.29,5.99,,,,,
,,,,,,,,,,,,,,,CP ROSSET FLANGE EUREX 5MM CP205 (1X2000),,PCS,100,0.4,40,5,2,42,,,,,
,,,,,,,,,,,,,,,"RUBBER WASHER BLACK 3/4"" (1X1000)",,PKT,1,25,25,5,1.25,26.25,,,,,
,,,,,,,,,,,,,,,TEFLON TAPE MERLIN 12 MTR (1X500),,PCS,250,0.45,112.5,5,5.63,118.13,,,,,
,,,,,,,,,,,,,,,SCREW BASIN (12MM) HD SUNDEX 1040 (1X200),,PCS,20,2,40,5,2,42,,,,,
,,,,,,,,,,,,,,,"G I U CLAMP (SADDLE) UNIDEX INDIA HD 3/4"" (1X10)",,PKT,1,22,22,5,1.1,23.1,,,,,
,,,,,,,,,,,,,,,"G I U CLAMP (SADDLE) UNIDEX INDIA HD 1/2"" (1X12)",,PKT,1,18,18,5,0.9,18.9,,,,,
,,,,,,,,,,,,,,,"HANDLE BALL VALVE MR.TOILET BR. 3/4"" MT304 (1X80)",,PCS,10,10.5,105,5,5.25,110.25,,,,,
,,,,,,,,,,,,,,,"FLOAT VALVE BRASS SUNDEX 1"" FV100 (1X50)",,PCS,3,30.5,105,5,5.25,110.25,,,,,
,,,,,,,,,,,,,,,SS FLOOR DRAIN LONG FOR TILES SUNDEX 30X12X5CM SD1230 (1X20),,PCS,2,80,160,5,8,168,,,,,
,,,,,,,,,,,,,,,"SS FLOOR DRAIN LONG FOR TILES SUNDEX 60X10X2"" SD1260 (1X20)",,PCS,2,180,360,5,18,378,,,,,
,,,,,,,,,,,,,,,"PVC FLOOR GRATING SUNDEX UKM WHITE 6'X6"" PF6060W 3Pc. (1X100)",,PCS,15,3.3,49.5,5,2.48,51.98,,,,,
,,,,,,,,,,,,,,,"PVC BOTTLE TRAP EUREX SINGLE 1.1/4"" 11114 (1X50)",,PCS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,"PVC BOTTLE TRAP EUREX SINGLE 1.1/2"" 11112 (1X50",,PCS,10,6.5,65,5,3.25,68.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,9/21/2024 0:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,September,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/273955,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,CP SHOWER HOSE SUNDEX BLISTER/PK 150CM SH1500 (1x50),,PCS,10,9,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,ANGLE VALVE EUREX HD ER012 (1x100),,PCS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,"ANGLE VALVE SUNDEX BRASS 1212 1/2"" (1x100)",,PCS,15,8,120,5,6,126,,,,,
,,,,,,,,,,,,,,,"CP HOSE COCK EUREX BRASS 1/2"" ER014 (1x120)",,PCS,12,6.8,81.6,5,4.08,85.68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,11/7/2024 0:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/278351,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,"ANGLE VALVE SUNDEX BRASS 1212 1/2"" (1x100)",,PCS,25,7.5,187.5,5,9.38,94.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,14/11/2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/279718,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,WC ADJ.CONNECTOR OFF SET SUNDEX #04 W/R PCS 44204 (1X50),,PCS,10,4.2,42,5,2.1,44.1,,,,,
,,,,,,,,,,,,,,,WC ADJ.CONNECTOR OFF SET SUNDEX #02 W/R PCS 44202 (1X50),,PCS,10,4,4,5,2,42,,,,,
,,,,,,,,,,,,,,,"WC ADJ.CONNECTOR OFF SET WHITE SUNDEX 4""X60MM Z TYPE 44206 (1X50)",,PCS,6,11,66,5,3.3,69.3,,,,,
,,,,,,,,,,,,,,,"WC ADJ.CONNECTOR OFF SET WHITE 4"" (Z) TYPE 100MM #10 44210 (1X40)",,PCS,6,16,96,5,4.8,100.8,,,,,
,,,,,,,,,,,,,,,"WC ADJ.CONNECTOR OFF SET WHITE 4"" (Z) TYPE 70MM #07 44207 (1X40)",,PCS,6,14,84,5,4.2,88.2,,,,,
,,,,,,,,,,,,,,,"BRASS RD/BUSH COPLEX M3/4""XF1/2"" (1x700)",,PCS,20,1.7,34,5,1.7,35.7,,,,,
,,,,,,,,,,,,,,,"GI U CLAMP (SADDLE) UNIDEX INDIA HD 2"" (1X600)",,PCS,100,0.48,48,5,2.4,50.4,,,,,
,,,,,,,,,,,,,,,"SHOWER MIXER NIPPLE BRASS 1/2""X3/4"" SB22 (1X400)",,PCS,10,4,40,5,2,42,,,,,
,,,,,,,,,,,,,,,MIRROR CLIP SS W/SCREW SUNDEX MC001 (1x900),,PCS,25,1.8,45,5,2.25,47.25,,,,,
,,,,,,,,,,,,,,,"FLOAT VALVE BRASS SUNDEX 3/4"" FV034 (1X100)",,PCS,3,17,51,5,2.55,53.55,,,,,
,,,,,,,,,,,,,,,"PVC WASTE (BASIN) EUREX 1.1/4"" 101214 (1X200)",,PCS,12,2.2,26.4,5,1.32,27.72,,,,,
,,,,,,,,,,,,,,,"PVC WASTE (SINK) EUREX 1.1/2"" 101212 (1X200)",,PCS,12,2.3,27.6,5,1.38,28.98,,,,,
,,,,,,,,,,,,,,,"WC L MAGIC CONNECTOR WHITE EUREX 4"" SA009 (1X20)",,PCS,5,14,70,5,3.5,73.5,,,,,
,,,,,,,,,,,,,,,"WC EXDENTABLE PAN CONNECTOR LONG SUNDEX HD 4"" 1215 (1x30)",,PCS,6,9,54,5,2.7,56.7,,,,,
,,,,,,,,,,,,,,,W/MACHINE INLET HOSE SUNDEX WM600 WHITE 200CM (1x36),,PCS,5,7,35,5,1.75,36.75,,,,,
,,,,,,,,,,,,,,,W/MACHINE INLET HOSE SUNDEX WM600 WHITE 200CM (1x36),,PCS,5,9,45,5,2.25,47.25,,,,,
,,,,,,,,,,,,,,,"WC QUIET FLOAT VALVE SIDE PVC 1/2"" SUNDEX PCS B2032 (1x20)",,PCS,5,13,65,5,3.25,68.25,,,,,
,,,,,,,,,,,,,,,"PVC FLOOR GRATING SUNDEX UKM WHITE 6""X6"" PF6060W 3Pc. (1X100)",,PCS,10,3.3,33,5,1.65,34.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,16/11/2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/279852,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,SINGLE TAP P/M LEVER SUNDEX SN3062 (1x20),,PCS,15,20,300,5,15,315,,,,,
,,,,,,,,,,,,,,,"POP UP WASTE AUTO SUNDEX SHORT 1.1/4"" PW914 (1x100)",,NOS,20,11,220,5,11,231,,,,,
,,,,,,,,,,,,,,,SHATTAF SUNDEX HANA WHITE (1X48),,PCS,20,10,200,5,10,210,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,23/11/2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/280665,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,CP PILLAR COCK SUNDEX HALF TURN SN388 (1X40),,PCS,14,20,280,5,14,294,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,12/12/2024 0:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/282599,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,SINGLE TAP P/M KNOB TYPE SUNDEX GS/TRI. SNO18 (1X20),,PCS,6,15,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,CP FLUSH URINAL VALVE SUNDEX FD235 HD 350GM(1x50),,PCS,3,46,138,5,6.9,144.9,,,,,
,,,,,,,,,,,,,,,CP FLUSH URINAL VALVE SUNDEX FD216 (1x50),,PCS,3,40,120,5,6,126,,,,,
,,,,,,,,,,,,,,,"CP HOSE COCK SUNDEX DOUBLE OUTLET 1/2"" CP122 (1x80)",,PCS,4,17.5,70,5,3.5,73.5,,,,,
,,,,,,,,,,,,,,,"HANDLE BALL VALVE MR. TOILET BR. 1.1/2"" MT122 (1X24)",,PCS,2,42,84,5,4.2,88.2,,,,,
,,,,,,,,,,,,,,,"ANGLE VALVE SUNDEX BRASS TWO WAY 1/2"" 5252 (1X100)",,PCS,10,9,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,"PVC MAGIC HOSE EUREX UK MDL. W/ROSSET 1.1/4"" 12217 (1X150)",,PCS,20,1.7,34,5,1.7,35.7,,,,,
,,,,,,,,,,,,,,,"PVC MAGIC HOSE EUREX UK MDL. W/ROSSET 1.1/2"" 12218 (1X100)",,PCS,20,2,40,5,2,42,,,,,
,,,,,,,,,,,,,,,CP PAPER HOLDER SUNDEX 8303 (K03) (1X100),,PCS,12,9,108,5,5.4,113.4,,,,,
,,,,,,,,,,,,,,,"PVC MAGIC HOSE MULTI SIZE SUNDEX 1.1/4""/1.1.2"" (2IN-1) 41412 (1X100)",,PCS,10,3.3,33,5,1.65,34.65,,,,,
,,,,,,,,,,,,,,,"HANDLE BALL VALVE MR.TOILET BR. 2"" MT222 (1X18)",,PCS,2,66,132,5,6.6,138.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,28/01/2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,January,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/287720,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,SHATTAF SUNDEX HANA WHITE (1X48),,PCS,30,10,300,5,15,315,,,,,
,,,,,,,,,,,,,,,ANGLE VALVE EUREX HD ER012 (1X100),,PCS,20,6,120,5,6,126,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,2/6/2025 0:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,February,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,Sal/288886,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,"PVC BOTTLE TRAP EUREX SINGLE 1.1/4"" 11114 (1X50)",,PCS,20,5.5,110,5,5.5,115.5,,,,,
,,,,,,,,,,,,,,,"PVC BOTTLE TRAP EUREX SINGLE 1.1/2"" 11112 (1X50)",,PCS,20,6,120,5,6,126,,,,,
,,,,,,,,,,,,,,,SCREW HEATER (10MM) HD SUNDEX 1054 (1X200),,PCS,10,2,20,5,1,21,,,,,
,,,,,,,,,,,,,,,SCREW KIT FOR WC SEAT COVER UKM SUNDEX WC404 (1X200),,PCS,5,4,20,5,1,21,,,,,
,,,,,,,,,,,,,,,"ANGLE VALVE SUNDEX BRASS TWO WAY 1/2"" 5252 (1X100)",,PCS,10,9,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,"CP HEX NIPPLE IRN UNIDEX M1/2""XM1/2"" 3.8CM PCS (1x640)",,PCS,20,0.8,16,5,0.8,16.8,,,,,
,,,,,,,,,,,,,,,SPANNER KEY FOR WATER FILTER APOLLO #217 (1X200),,PCS,4,3,12,5,0.6,12.6,,,,,
,,,,,,,,,,,,,,,"PVC HOSE PIPE CONNECTOR GB28 3/4"" (1X1000)",,PCS,10,1.2,12,5,0.6,12.6,,,,,
,,,,,,,,,,,,,,,"PVC HOSE PIPE CONNECTOR GB28 1"" (1X1000)",,PCS,10,1.6,16,5,0.8,16.8,,,,,
,,,,,,,,,,,,,,,PPR HEAT MACHINE SUNDEX 20-32 WM21 (1x10),,PCS,2,45,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,HEATER ELEMENT STRAIGHT 1200W #1453 (1X50),,PCS,7,19,133,5,6.65,139.65,,,,,
,,,,,,,,,,,,,,,HAND SHOWER BRACKET SQUARE BK1205 5-STEP (1X300),,PCS,10,3.6,36,5,1.8,37.8,,,,,
,,,,,,,,,,,,,,,BUTTON FOR WC DUAL PUSH FITTINGS 2610 (1014/2024) (1X400),,PCS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,WC SEAT COVER HD EUREX ER011 (1X10),,PCS,10,23,230,5,11.5,241.5,,,,,
,,,,,,,,,,,,,,,CP SHOWER HOSE SUNDEX BLISTER/PK 150CM SH1500 (1x50),,PCS,15,8,120,5,6,126,,,,,
,,,,,,,,,,,,,,,CP SHOWER HOSE SUNDEX BLISTER/PK 200CM SH1500 (1X50),,PCS,5,10,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,PVC SHATTAF HOSE SUNDEX HD CARD PKG. SH2200 120CM (1x100),,PCS,10,5.5,55,5,2.75,57.75,,,,,
,,,,,,,,,,,,,,,DRAINAGE PLUNGER PVC RED LD UNIDEX D024 (1X60),,PCS,10,4,40,5,2,42,,,,,
,,,,,,,,,,,,,,,SS MIXER CON-SPAIN EUREX SH34266 60CM S/L (1X160),,PAIR,60,7.2,432,5,21.6,453.6,,,,,
,,,,,,,,,,,,,,,SS FLEXIBLE HOSE-SPAIN EUREX SH33060 60CM (1X160),,PCS,40,3,120,5,6,126,,,,,
,,,,,,,,,,,,,,,SS FLEXIBLE HOSE-SPAIN EUREX SH33090 90CM (1X100),,PCS,30,4.7,141,5,7.05,148.05,,,,,
,,,,,,,,,,,,,,,SS FLEXIBLE HOSE-SPAIN EUREX SH33120 120CM (1X80),,PCS,10,5.8,58,5,2.9,60.9,,,,,
,,,,,,,,,,,,,,,SS FLEXIBLE HOSE-SPAIN EUREX SH33045 45CM (1X200),,PCS,20,2.7,54,5,2.7,56.7,,,,,
,,,,,,,,,,,,,,,WC SEAT COVER RKM EUREX ER003 (1X10),,PCS,5,19,95,5,4.75,99.75,,,,,
,,,,,,,,,,,,,,,BUTTON FOR WC DUAL PUSH FITTING 2620 (P2501) 58MM (1X250),,PCS,5,7,35,5,1.75,36.75,,,,,
,,,,,,,,,,,,,,,BUTTON FOR WC SINGLE PUSH FITTINGS 2630 (1103/2203) (1X250),,PCS,5,6,30,5,1.5,31.5,,,,,
,,,,,,,,,,,,,,,WC SEAT COVER WHITE SUNDEX PT400 (1X10),,PCS,4,24,96,5,4.8,100.8,,,,,
,,,,,,,,,,,,,,,"GI U CLAMP (SADDLE) UNIDEX INDIA HD 3/4"" (1x10)",,PKT,3,20,60,5,3,63,,,,,
,,,,,,,,,,,,,,,"GARDEN HOSE ADAPTOR F1/2""X10MM GB04 (GB02) (1X300)",,PCS,15,3,45,5,2.25,47.25,,,,,
,,,,,,,,,,,,,,,DRAINAGE PLUNGER CYLINDER RED HD UNIDEX PCS D816 (1X50),,PCS,10,8,80,5,4,84,,,,,
,,,,,,,,,,,,,,,A0170080020L-18 Ltr STUCCO FILLER,,,20,62,1240,5,50.84,1067.67,,,,223.2,
,,,,,,,,,,,,,,,A0170080020L-18 Ltr STUCCO FILLER,,,4,62,248,5,0,0,,,,248,
,,,,,,,,,,,,,,,A017008004L-3.6 Ltr STUCCO FILLER,,,15,17,255,5,10.46,219.56,,,,45.9,
,,,,,,,,,,,,,,,A017008004L-3.6 LIT STUCCO FILLER,,,3,17,51,5,0,0,,,,51,
,,,,,,,,,,,,,,,A0150080020L-18 Ltr PVA PRIMER WHITE FOR MASONARY,,,10,60,600,5,24.6,516.6,,,,108,
,,,,,,,,,,,,,,,A0150080020L-18 Ltr PVA PRIMER WHITE FOR MASONARY,,,2,60,120,5,0,0,,,,120,
,,,,,,,,,,,,,,,A0010089020L-18 Lt PLASTIC EMULSION BLACK,,,10,63,630,5,25.83,542.43,,,,113.4,
,,,,,,,,,,,,,,,A001008904L-3.6 Ltr PLASTIC EMULSION BLACK,,,10,18,180,5,7.38,154.98,,,,32.4,
,,,,,,,,,,,,,,,A9010080020L-18 Ltr PLASTIC EMULSION WHITE,,,10,58,580,5,23.78,499.38,,,,104.4,
,,,,,,,,,,,,,,,A0010080020L-18 Lt PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A0010080120L-18 Ltr PLASTIC EMULSION OFF WHITE,,,10,58,580,5,23.78,499.38,,,,104.4,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A001008014L-3.6 Ltr PLASTIC EMULSION OFF WHITE,,,10,16,160,5,6.56,137.76,,,,28.8,
,,,,,,,,,,,,,,,A1190080020L-18 Ltr ACRYLIC PRIMER WHITE WATER BASE,,,5,80,400,5,16.4,344.4,,,,72,
,,,,,,,,,,,,,,,A1190080020L-18 Ltr ACRYLIC PRIMER WHITE WATER BASE,,,1,80,80,5,0,0,,,,80,
,,,,,,,,,,,,,,,A119008004L- 3.6 Ltr ACRYLIC PRIMER WHITE W.B,,,10,22,220,5,9.02,189.42,,,,39.6,
,,,,,,,,,,,,,,,A119008004L-3.6 Ltr ACRYLIC PRIMER WHITE W.B,,,2,22,44,5,0,0,,,,44,
,,,,,,,,,,,,,,,A0230080020L-18 Ltr POLLYDEX WATER PROOFING,,,10,150,1500,5,61.5,1291.5,,,,270,
,,,,,,,,,,,,,,,A0230080020L-18 Ltr POLLYDEX WATER PROOFING,,,2,150,300,5,0,0,,,,300,
,,,,,,,,,,,,,,,A023008004L- 3.6 Ltr POLLYDEX WATER PROOFING,,,15,34,510,5,20.91,439.11,,,,91.8,
,,,,,,,,,,,,,,,A023008004L-3.6 Ltr POLLYDEX WATER PROOFING,,,3,34,102,5,0,0,,,,102,
,,,,,,,,,,,,,,,A180008004L-3.6 Ltr FLAT/MATT SYNTHETIC ENAMEL GLOSS-II WHITE,,,2,56,112,5,0,0,,,,112,
,,,,,,,,,,,,,,,A1250000020L-18 Ltr NATIONAL LACQUER THINNER,,,15,160,2400,5,98.4,2066.4,,,,432,
,,,,,,,,,,,,,,,A1250000020L-18 Ltr NATIONAL LACQUER THINNER,,,1,160,160,5,0,0,,,,160,
,,,,,,,,,,,,,,,A04200RED4L-2.88 Ltr N GUARD REDOXIDE PRIMER RED,,,10,73,730,5,29.93,628.53,,,,131.4,
,,,,,,,,,,,,,,,A038HRDNRIL -0.72 Ltr GUARD EPOXY HARDNER,,,10,0,0,5,0,0,,,,0,
,,,,,,,,,,,,,,,A070003004L-3.6 Ltr MINITEX WHITE,,,10,34,340,5,13.94,292.74,,,,61.2,
